Title 	; Quality Score;
Metadata Integration with Labeled-Property Graphs 	;2.5;
Automated Integration of Genomic Metadata with Sequence-to-SequenceModels 	;2.5;
Integrated Access to Multidisciplinary Data Through SemanticallyInteroperable Services in a Metadata-Driven Platform for Solid EarthScience 	;2.5;
Metadata harvesting for digital library integration in Ukraine: acomparative study of the OAI-PMH protocol and VuFind's efficacy 	;2.5;
Publication of Satellite Earth Observations in the Linked Open DataCloud: Experiment Through the TRACES Project 	;2.0;
Data Catalogs: A Systematic Literature Review and Guidelines toImplementation 	;1.5;
Wikibase Model for Premodern Manuscript Metadata Harmonization, LinkedData Integration, and Discovery 	;2.0;
A linked open data framework to enhance the discoverability and impactof culture heritage 	;2.5;
ConSolid: A federated ecosystem for heterogeneous multi-stakeholderprojects 	;2.0;
A Survey of Privacy Preserving Data Integration 	;1.5;
A Reference Data Model of a Metadata Registry Preserving Semantics andRepresentations of Data Elements 	;2.0;
Interoperability and FAIRness through a novel combination of Webtechnologies 	;1.5;
The GAAIN Entity Mapper: An Active-Learning System for Medical DataMapping 	;2.5;
A Metadata Management Model For Massive Data Engineering In Oilfield 	;1.5;
PROPOSAL FOR THE STANDARDIZATION OF CONTROLLED VOCABULARIES FORTELEVISION ARCHIVES: CASE STUDY AT RTVE 	;2.5;
Natural Key Discovery in Wikipedia Tables 	;1.0;
Sparse Linear Integration of Content and Context Modalities for SemanticConcept Retrieval 	;2.0;
Toward a View-oriented Approach for Aligning RDF-based BiomedicalRepositories 	;2.5;
Semantic-based Data Integration and Mapping Maintenance: Application toDrugs Domain 	;2.5;
A Comparative Study of Platforms for Research Data Management:Interoperability, Metadata Capabilities and Integration Potential 	;1.0;
Functional Requirements for Medical Data Integration into KnowledgeManagement Environments: Requirements Elicitation Approach Based onSystematic Literature Analysis 	;1.0;
High-level ETL for semantic data warehouses 	;1.0;
Traceable Research Data Sharing in a German Medical Data IntegrationCenter With FAIR (Findability, Accessibility, Interoperability, andReusability)-Geared Provenance Implementation: Proof-of-Concept Study 	;0.5;
On data lake architectures and metadata management 	;2.5;
Architecture Methodology Researchment of Metadata Driven Design 	;0.5;
ConfIDent - An Open Platform for FAIR Conference Metadata 	;1.5;
Using Linked Data for Integrating Educational Medical Web DatabasesBased on BioMedical Ontologies 	;2.0;
Common Metadata Framework: Integrated Framework for TrustworthyArtificial Intelligence Pipelines 	;1.5;
Use of Metadata-Driven Approaches for Data Harmonization in the MedicalDomain: Scoping Review 	;3.0;
A semantic meta-model for data integration and exploitation in precisionagriculture and livestock farming 	;2.5;
<i>GEOWEBCLN</i>: AN INTENSIVE CLEANING ARCHITECTURE FOR GEOSPATIALMETADATA 	;1.5;
Metadata Harvesting and Quality Assurance within Open Urban Platforms 	;0.5;
Executable platform for managing customizable metadata of educationalresources 	;2.0;
Putting meaning into NETMAR - the open service network for marineenvironmental data 	;2.0;
MAMS: matrix and analysis metadata standards to facilitate harmonizationand reproducibility of single-cell data 	;1.5;
Automatic Extraction and Cluster Analysis of Natural Disaster MetadataBased on the Unified Metadata Framework 	;2.0;
GeMI: interactive interface for transformer-based Genomic MetadataIntegration 	;2.0;
Facilitating Harmonization of Variables in Framingham, MESA, ARIC, andREGARDS Studies Through a Metadata Repository 	;1.5;
Making Metadata Fit for Next Generation Language Technology Platforms:The Metadata Schema of the European Language Grid 	;1.0;
Performative Metadata: Reliability Frameworks and Accounting Frameworksin Content Aggregation Data Models 	;1.5;
ISA API: An open platform for interoperable life science experimentalmetadata 	;1.5;
Context Is Everything: Harmonization of Critical Food MicrobiologyDescriptors and Metadata for Improved Food Safety and Surveillance 	;2.5;
CAMO: Integration of Linked Open Data for Multimedia Metadata Enrichment 	;2.5;
Metadata Topic Harmonization and Semantic Search for Linked-Data-DrivenGeoportals: A Case Study Using ArcGIS Online 	;2.5;
Unified architecture for data-driven metadata tagging of buildingautomation systems 	;1.0;
MetaGate: Interactive analysis of high-dimensional cytometry data withmetadata integration 	;0.5;
LusTRE: a framework of linked environmental thesauri for metadatamanagement 	;1.5;
A Metadata-Driven Tool for FAIR Data Production in Citizen SciencePlatforms 	;1.5;
Retrieving of Data Similarity using Metadata on a Data AnalysisCompetition Platform 	;1.0;
Data-driven ontology generation and evolution towards intelligentservice in manufacturing systems 	;1.5;
Sharing ICH Archives: Integration of Online Inventories and Definitionof Common Metadata 	;2.0;
A proteomics sample metadata representation for multiomics integrationand big data analysis 	;1.5;
Understanding the Structural Characteristics of Data Platforms UsingMetadata and a Network Approach 	;1.5;
Generic metadata representation framework for social-based eventdetection, description, and linkage 	;1.0;
Metadata for Scientific Experiment Reporting: A Case Study inMetal-Organic Frameworks 	;1.5;
Defining health data elements under the HL7 development framework formetadata management 	;2.0;
SPASE metadata as a building block of a heliophysics science-enablingframework 	;1.5;
ClickOnMap: A Framework to Develop Volunteered Geographic InformationSystems with Dynamic Metadata 	;1.0;
A Conceptual Framework for Linking Open Government Data Based-OnGeolocation: A Case of Thailand 	;1.0;
An automated framework for the extraction of semantic legal metadatafrom legal texts 	;2.0;
A Metadata-Assisted Cascading Ensemble Classification Framework forAutomatic Annotation of Open IoT Data 	;0.5;
Historical Collections and Library Catalogs: Provenance Metadata,Bibliographic Standards and Frameworks, and Catalog Functionalities 	;1.5;
A CNN-RNN Framework for Image Annotation from Visual Cues and SocialNetwork Metadata 	;1.5;
Research on the Design of Education Resource Service Cloud Platform ofWide-range District and Metadata Standars 	;1.0;
Framework for Public Health Policy Indicators Governance and MetadataQuality Flags to Promote Data Literacy 	;2.0;
A machine learning framework for discovery and enrichment ofmetagenomics metadata from open access publications 	;1.0;
Metadata Framework to Support Deployment of Digital Health Technologiesin Clinical Trials in Parkinson's Disease 	;0.5;
FAIR human neuroscientific data sharing to advance AI driven researchand applications: Legal frameworks and missing metadata standards 	;1.5;
Using linked data to create provenance-rich metadata interlinks: thedesign and evaluation of the NAISC-L interlinking framework forlibraries, archives and museums 	;1.0;
The {Semantic} {Data} {Dictionary} - {An} {Approach} for {Describing} and {Annotating} {Data}. 	;2.5;
{LifeWatch} {Greece} data-services: {Discovering} {Biodiversity} {Data} using {Semantic} {Web} {Technologies}. 	;1.5;
The {Registry} {Data} {Warehouse} in the {European} {Reference} {Network} for {Rare} {Respiratory} {Diseases} - {Background}, {Conception} and {Implementation}. 	;1.0;
The iBench integration metadata generator 	;0.5;
Application-driven creation of building metadata models with semantic sufficiency 	;2.0;
A platform for contextual multimedia data: towards a unified metadata model and querying 	;2.0;
Modeling the Complexity of Music Metadata in Semantic Graphs for Exploration and Discovery 	;2.5;
Louvre: A Framework for Metadata Curation in Data Ecosystem 	;1.0;
Architecting open education: the integrated metadata warehouse 	;1.0;
Jazzcats: navigating an RDF triplestore of integrated performance metadata 	;2.0;
Towards a project centric metadata model and lifecycle for ontology mapping governance 	;2.5;
Metadata type system: integrate presentation, data models and extraction to enable exploratory browsing interfaces 	;2.5;
Semantic Mediation of Metadata for Marine Geochemical Data Integration 	;2.5;
Integration patterns in the use of metadata for data sense-making duringrelevance evaluation: An interpretable deep learning-based prediction 	;1.5;
On Metadata Quality in Sceiba, a Platform for Quality Control andMonitoring of Cuban Scientific Publications 	;2.0;
Sustainable Value and Generativity in the Ecological Metadata Language(EML) Platform: Toward New Knowledge and Investigations 	;1.0;
A Metadata-Based Approach to the Integration of Educational Resources inEthnic Traditional Physical Education 	;2.0;
Extracting hierarchical structure of content groups from differentsocial media platforms using multiple social metadata 	;1.5;
Sustainable data and metadata management at the BD;2K-LINCS DataCoordination and Integration Center 	;1.5;
Harmonized terms, concepts and metadata for microbiological riskassessment models: The basis for knowledge integration and exchange 	;2.0;
How Your Cultural Dataset is Connected to the Rest Linked Open Data? 	;2.0;
Integration of Distributed Streamflow Measurement Metadata for ImprovedWater Resource Decision-Making 	;2.0;
CRAWLER-LD: A Multilevel Metadata Focused Crawler Framework for LinkedData 	;2.0;
Exploring the Benefits of Blockchain-Powered Metadata Catalogs in DataMesh Architecture 	;1.0;
A Framework for Efficient Matching of Large-Scale Metadata Models 	;1.0;
Exif;2Vec: A Framework to Ascertain Untrustworthy Crowdsourced ImagesUsing Metadata 	;1.5;
Content-based Union and Complement Metrics for Dataset Search over RDFKnowledge Graphs 	;1.0;
Semantic integration of enterprise information systems usingmeta-metadata ontology 	;2.5;
Verification of Data Similarity using Metadata on a Data ExchangePlatform 	;2.0;
A method of identifying ontology domain 	;2.0;
The Europeana Network of Ancient Greek and Latin Epigraphy DataInfrastructure 	;2.5;
Design and implementation of oilfield heterogeneous data integration model based on ontology 	;2.0;
Personalized Trip Planning by Integrating Multimodal User-generatedContent 	;2.0;
Integration of Scholarly Communication Metadata Using Knowledge Graphs 	;1.0;
Is my:sameAs the same as your:sameAs? 	;2.5;
Using Complex Correspondences for Integrating Relational Data Sources 	;2.0;
MetaStore: an adaptive metadata management framework for heterogeneousmetadata models 	;2.5;
A Collective, Probabilistic Approach to Schema Mapping Using DiverseNoisy Evidence 	;0.5;
Interoperable Sharing and Visualization of Geological Data andInstruments: A Proof of Concept 	;1.0;
Plaster: An Integration, Benchmark, and Development Framework forMetadata Normalization Methods 	;2.5;
Integrated Data Repository Toolkit (IDRT) A Suite of Programs toFacilitate Health Analytics on Heterogeneous Medical Data 	;1.0;
A comparison of research data management platforms: architecture,flexible metadata and interoperability 	;0.5;
Universal Metadata Repository: Integrating Data Profiles Across anOrganization 	;1.5;
RIKEN MetaDatabase: A Database Platform for Health Care and LifeSciences as a Microcosm of Linked Open Data Cloud 	;2.5;
Pragmatic MDR: a metadata repository with bottom-up standardization ofmedical metadata through reuse 	;2.5;
Enhancing Asset Management Through Integrated Facilities Data, DigitalAsset Management, and Metadata Strategies 	;1.5;
Semantic Metadata Annotation Services in the Biomedical Domain-ALiterature Review 	;2.5;
Understanding the Nature of Metadata: Systematic Review 	;3.0;
Crowd Sourced Semantic Enrichment (CroSSE) for knowledge driven queryingof digital resources 	;2.5;
Metadata Reconciliation for Improved Data Binding and Integration 	;2.5;
Metadata Integration Framework for Data Integration of Socio-CulturalAnthropology Digital Repositories: A Case Study of Princess Maha ChakriSirindhorn Anthropology Centre 	;2.5;
Automated Metadata Harmonization Using Entity Resolution and ContextualEmbedding 	;2.5;
A Novel Data Integration Framework Based on Unified Concept Model 	;2.5;
Toward a framework for statistical data integration 	;2.5;
Towards a semantic data infrastructure for heterogeneous Cultural Heritage data - Challenges of Korean Cultural Heritage Data Model (KCHDM) 	;2.5;
Leveraging Web ;2.0; technologies to add value to the IUPAC Solubility Data Series: Development of a REST style website and application programming interface (API) 	;2.0;
The combined use of EAD and METS for archival material: An integrated toolkit 	;1.5;
Towards a standard ontology metadata model 	;1.0;
Research on information organizations and intelligent retrievals for digital library based on ontology and semantic web 	;2.5;
Metadata management for data integration in medical sciences - Experiences from the LIFE study 	;2.5;
An incremental semantic integration method of scientific data based on ontologies;  	;2.5;
The XML and semantic web: A systematic review on technologies 	;1.5;
Training neural language models with SPARQL queries for semi-automatic semantic mapping 	;1.5;
DIR-A semantic information resource for healthcare datasets 	;1.5;
Combining Automatic Annotation with Human Validation for the Semantic Enrichment of Cultural Heritage Metadata 	;2.5;
Semantic data integration methods based on ontologies in intelligent business analytics systems 	;2.5;
Enhancing Health Recommendations through Patient Metadata Integration: A Persona-Based Evaluation Approach 	;2.0;
Semantic Enrichment on Cultural Heritage collections: A case study using geographic information 	;1.0;
META-BASE: A Novel Architecture for Large-Scale Genomic Metadata Integration 	;2.0;
Comparative Analysis of Metadata Models on e-Government Open Data Platforms 	;1.5;
An AI-Assisted Framework for Rapid Conversion of Descriptive Photo Metadata into Linked Data 	;2.0;
An Open Cultural Digital Content Infrastructure 	;2.0;
Towards an Ontology-Based Generic Interface for Field Device Capabilities in Automation Systems 	;2.0;
Towards Next Generation Knowledge Graphs for Disaster Management 	;0.5;
Ensuring the quality and interoperability of open cultural digital content: System architecture and scalability 	;1.5;
Synapse : Towards Linked Data for Smart Cities using a Semantic Annotation Framework 	;2.5;
Data Enrichment Toolchain: A Data Linking and Enrichment Platform for Heterogeneous Data 	;1.5;
OKG-Soft: An Open Knowledge Graph with Machine Readable Scientific Software Metadata 	;1.5;
Using Properties as a Semantic Base for Interoperability 	;2.0;
Toward {Better} {Semantic} {Interoperability} of {Data} {Element} {Repositories} in {Medicine}: {Analysis} {Study}. 	;2.5;
A scalable and transparent data pipeline for {AI}-enabled health data ecosystems. 	;2.0;
Creation of {Standardized} {Common} {Data} {Elements} for {Diagnostic} {Tests} in {Infectious} {Disease} {Studies}: {Semantic} and {Syntactic} {Mapping}. 	;0.5;
Blue-cloud DAB: developing a platform to harmonize, assess and disseminate marine metadata collections 	;2.5;
Metadata application proﬁle as a mechanism for semantic interoperability in FAIR and open data publishing 	;2.5;
Cultural Heritage Information Retrieval: Past, Present, and Future Trends 	;2.5;
Crowdheritage: Crowdsourcing for improving the quality of cultural heritage metadata 	;2.5;
Reducing consumer uncertainty: Towards an ontology for geospatial user-centric metadata 	;2.5;
Biosamples database: An updated sample metadata hub 	;2.0;
Improving discovery of open civic data 	;2.5;
A unified management framework for EIoT systems based on metadata and event detection 	;1.0;
Low-cost semantic enhancement to digital library metadata and indexing: Simple yet effective strategies 	;1.0;
A metadata model and mapping approach for facilitating access to heterogeneous cultural heritage assets 	;2.5;
Web technologies: A survey of their applicability to metadata aggregation in cultural heritage 	;1.5;
Enhancing semantic interoperability in digital library by applying intelligent techniques 	;2.0;
Metadata schema for context-aware augmented reality applications in cultural heritage domain 	;2.5;
MORe: A Micro-service Oriented Aggregator 	;1.0;
WITH: Human-Computer Collaboration for Data Annotation and Enrichment 	;2.5;
FAIR Data Point: A FAIR-Oriented Approach for Metadata Publication 	;1.0;
From Raw Data to FAIR Data: The FAIRification Workflow for HealthResearch 	;1.5;
Exploratory analysis of a crowdsourcing metadata tool for buildingterminological consensus in civil engineering 	;2.0;
The eXtensible ontology development (XOD) principles and toolimplementation to support ontology interoperability 	;2.5;
Building an open-source collaborative platform for migration research: Ametadata modeling approach using XML 	;2.0;
``METAGENOTE: a simplified web platform for metadata annotation ofgenomic samples and streamlined submission to NCBI's sequence readarchive{''} 	;1.5;
Exploiting the Potential of VGI Metadata to Develop A Data-DrivenFramework for Predicting User's Proficiency in OpenStreetMap Context 	;1.0;
Question Answering on Linked Data: Challenges and Future Directions 	;1.0;
Metadata Framework for Assisting Experimental Planning and Evaluation at Wendelstein 7-X 	;1.5;
Management platform for data translators supported by semantic annotations 	;1.5;
A federated semantic metadata registry framework for enablinginteroperability across clinical research and care domains (vol 46, pg784, 2013) 	;2.5;
Interoperability of population-based patient registries. 	;2.5;
Data Information Interoperability Model for IoT-enabled Smart Water Networks 	;2.5;
Dealing with multi-source and multi-scale information in plant phenomics: the ontology-driven {Phenotyping} {Hybrid} {Information} {System}. 	;1.5;
An {Annotation} {Workbench} for {Semantic} {Annotation} of {Data} {Collection} {Instruments}. 	;1.0;
{CDEGenerator}: an online platform to learn from existing data models to build model registries. 	;1.5;
The integration of Tematres and Wordpress through a plugin; [A integração do Tematres e o Wordpress por meio de plugin] 	;1.0;
FAIRification of Citizen Science Data Through Metadata-Driven Web API Development 	;2.5;
UGESCO - A Hybrid Platform for Geo-Temporal Enrichment of Digital Photo Collections Based on Computational and Crowdsourced Metadata Generation 	;2.5;
A semantic registry method using sensor metadata ontology to manage heterogeneous sensor information in the geospatial sensor web 	;2.0;
A RDF-based approach to metadata crosswalk for semantic interoperability at the data element level 	;2.5;
Cultural heritage content re-use: An aggregators's point of view 	;2.0;
Design of a metadata framework for environmental models with an examplehydrologic application in HydroShare 	;1.0;
Information Integration of Heterogeneous Medical Database Systems Using Metadata 	;2.5;
Methods for Standardizing Metadata at Pusdatinrenbang Bappenas 	;2.5;
Lessons Learned From European Health Data Projects With Cancer Use Cases: Implementation of Health Standards and Internet of Things Semantic Interoperability 	;2.5;
Metadata application proﬁle as a mechanism for semantic interoperability in FAIR and open data publishing 	;2.5;
Metadata-Driven Approach to Generalisation of Transformations in ETL Processes 	;2.5;
An LLM-based Approach for Translating Keywords in Scientific Publications 	;2.5;
Reference framework for metadata description to commensurate data in grain production 	;2.5;
Metadata-Driven Cross-Infrastructure Integration Between Solid Earth and Marine Sciences in the GEO-INQUIRE Project 	;2.5;
Integrative Ontology of Bipolar Disorder (OBD): Advancing Bipolar Disorder Research Through an Interoperable Ontological Framework 	;2.5;
Weaving the Threads of Bibliographic Ontologies 	;3.0;
Large-Scale Integration of DICOM Metadata into HL7-FHIR for Medical Research 	;2.5;
Implementing interoperability - Metadata Schema and Crosswalk Registry approach to FAIR metadata mappings 	;2.5;
Integration patterns in the use of metadata for data sense‐making during relevance evaluation: An interpretable deep learning‐based prediction 	;2.5;
